MatNr;Vorname;Nachname;E-Mail;Passwort;Lerngruppenname;LerngruppePasswort;SPO;Fachsemester;Bestandene Teilleistungen;Noch ausstehende Teilleistungen;3D Reconstruction Framework from Multi-View Images (3D-MuVi);Android-Applikation KIT-Mensa-Speiseplan;Assistenztools für den Maschinenbau;ChronoCommand - An Intelligent Web-Based Work Time Tracking Tool;Crowd Control -- Entwicklung von Steuerungsmechanismen für das Crowd Computing;DataDealer - Middelware für die interaktive Visualisierung verteilter Sensoren in WebApps;DataScientist -- benutzerorientierte Analyse großer hochdimensionaler Datenbestände;Der Microsoft Imagine Cup 2016 (nur 4er Teams);Der WorkspaceService - Die smarte Lernumgebung am KIT basierend auf HTML5 und REST;Distributed Camera Network 3D Calibration Suite;Dynamic scheduler for scientific simulations;Echtzeit-Computergrafik in der Spieleentwicklung;Industrie 4.0 und OPC UA;Interaktive Visualisierung von Real-Estate-Daten;Komponenten-Windkanal - Automatisches Ausmessen der Performance von Software-Komponenten;Medienbrowser zur inhaltsbasierten Suche in Bild- und Videodaten;Mobile Reconnaissance Manual -interaktive Assistenz für Erkennungsaufgaben;Modulares Multimedia-Werkzeug zum Testen von Videoencodern;Node.js Bindings for ROOT6 (auf Englisch);OpenID Connect for Linux (auf Englisch);ProfiNet-Modul für das Intrusion-Detection-System Snort;RoboCorder - Aufnahme und Wiedergabe von heterogenen Sensordaten eines humanoiden Roboters;Webapplikation zur Verwaltung Nachbearbeitung und Analyse multispektraler Datensätze
1080592;Gheorghe;Bräuer;a;$2a$10$3rS02ipaxYYYENiriPOYW.FiLWPBjBtHkIirakLh6Sx9eMB4L2xDO;23;$2a$10$W1HlhXiuzBEbcbRszaPBpub1r2hSDd.V720L2oDO9mTgW6lh/ZKrC;2008;3;LA,Algo,HM,SWT;;6;4;3;7;4;5;3;3;3;4;3;3;3;6;3;4;4;4;6;7;3;3;4;
1092834;Waselko;Drechsel;a;$2a$10$CASQMfCGg3H5PQ5cpHgxZ.UwsyNB1IKv1ZqJbrZr3O3jhefp2GcWS;36;$2a$10$pAjPTDSHUFL1gujkBn7lHuMgz/ay/iBTca5/70oulQbafb7LTDCSa;2008;3;LA,Algo,HM,SWT;;3;3;6;7;3;5;4;4;4;3;5;4;3;6;3;6;4;5;5;3;3;3;6;
1096801;Azza;Haake;a;$2a$10$loB2pvk4to6eJCdJm9yaruaqLjdaU5Emxh3IoRkGVQguBTMPrNVjK;;;2008;5;Algo,HM,SWT;;4;6;7;6;5;3;4;5;4;4;3;6;3;5;5;6;4;7;5;5;3;3;4;
1110745;Mican;Gramlich;a;$2a$10$A71N6HNYQzY28/9E0CjIZeFkErtBSFXENMCDK/M0KcyjmWapwWyde;17;$2a$10$lDLFarWipk/PlmYiNwl6X.T13ntlvATE9OlGQjxVT.UtQzn8sayJC;2008;5;HM,SWT;;4;5;3;6;4;7;5;5;5;4;5;3;7;5;4;4;4;3;3;3;6;5;4;
1117898;Simone;Mauch;a;$2a$10$.Yu5YYGudwsRQV3oBQKtjur66wXMhm451HVAM8iJmhsXMgrw0CI1a;;;2008;5;LA,Algo,HM,SWT;;3;3;7;3;5;4;3;3;4;3;3;7;3;3;3;4;4;6;3;6;5;5;6;
1123154;Pennos;Herdt;a;$2a$10$e5sUa8yGdxN/mBr1T21.2eMrSXSOEmLW7ZjLOZXeApO29l0n31Rl6;39;$2a$10$mTibm/KlLc.9jOg4Soeq7.28ipeojpejc2r.rM3Qx7lN0VUqApOCG;2008;3;LA,Algo,HM,SWT;;3;3;6;7;3;6;3;6;6;5;6;5;4;6;3;7;4;5;4;3;3;3;6;
1124453;Wasilios;Dreher;a;$2a$10$jL077KS.Jzgx.DdTBt/8ded7.eDneWOA7XCArLswWPrJfGx8fSr..;;;2008;7;LA,HM,SWT;;6;4;3;5;3;4;4;4;4;7;4;3;4;4;4;7;4;5;4;3;5;4;5;
1136871;Ponniah;Scheler;a;$2a$10$Q6zWQLZ87VPIHvzMoeRPNeoBXOoaKJbibINw2NgrNKlcvomeK7xwe;43;$2a$10$y0.CQr6yD6gUYU6vRjfvlOc2Dg7kQE6GUhPMYmwQ5.K2b8LTysyQa;2008;7;Algo,HM,SWT;;3;3;4;7;3;5;4;5;3;6;6;4;3;6;3;3;4;4;3;5;3;3;3;
1137884;Miladinka;Goldmann;a;$2a$10$lbF5GT0DPQ/o1yCjVU0YcuWl5SIE1JaJ08VY1Gky.n0c.38lmRHGO;20;$2a$10$Ehbs5AkLcCqLz/rXlSCaweBLdwXtiW1uG5vWSeTtUgZZuZG8d9Gb.;2008;7;LA,Algo,HM,SWT;;7;5;5;7;6;4;3;4;3;3;7;5;3;3;7;3;4;6;5;5;3;3;5;
1138311;Klaus-Knut;Pohlmann;a;$2a$10$zJnFcBZ9PVnohsULh8Uv1uFIYfgHNqABptGZlat/GYQbwcOd1vTtq;16;$2a$10$awm/GKoWUabekfNq9i51tOw3SnUp5VR4wzeIdeKEy1v4xwzYEktFK;2008;3;LA,Algo,HM,SWT;;6;4;6;7;3;7;5;4;6;3;6;4;3;7;3;7;4;6;4;6;3;3;4;
1150260;Inanmis;Wenzl;a;$2a$10$0g/KdIJ34W0FGc/kNw1.keMbBjTdpAms0jHGmLMxWNJRbojlgIFI2;22;$2a$10$oJAo8gbvRc1pU6ZYfyC8..ekESci7PTeXl58.uSWkoC/XAWR8qTYC;2008;3;LA,Algo,HM,SWT;;3;7;7;4;3;6;3;4;4;4;3;6;4;5;3;6;4;7;5;6;3;3;5;
1155102;Gérard;Wollmann;a;$2a$10$CFvDweUhyNufCWgr.wkWGOW1r3oJzSrGMojDgx7fZf4QjefVLYehq;37;$2a$10$tfYM1yq1sfLfIqql4Pj68OjxFnf28xzI3/UTFTjed42IOcHdSBkGu;2008;3;LA,Algo,HM,SWT;;5;5;5;6;4;6;5;3;4;3;7;5;3;3;6;5;4;6;3;4;3;3;6;
1162895;Pejdo;Majewski;a;$2a$10$66wPzDAlfkUv1riNnalpIewK3YZlYThb0ptCmItyiAG30qxXiVo6m;52;$2a$10$vI1ILUr3GDrAf2CRA5ivG.dnL.ueUs8PHk42l3t.9pZtyOxJ3H6fa;2008;3;LA,Algo,HM,SWT;;3;5;6;4;4;4;3;4;4;5;3;6;4;7;4;6;4;5;4;5;4;4;7;
1180321;Aydin;Kluge;a;$2a$10$5xdSWcQDGHbGQS.EPS5hr.UUIypoLqRKDPXWvCSODHhsaAHVjMHVO;37;$2a$10$tfYM1yq1sfLfIqql4Pj68OjxFnf28xzI3/UTFTjed42IOcHdSBkGu;2008;3;LA,Algo,HM,SWT;;5;5;5;6;4;6;5;3;4;3;7;5;3;3;6;5;4;6;3;4;3;3;6;
1190408;Bajrami;Baumert;a;$2a$10$FtLy.MIaUj3GJ8g7I4wiXO2iKy5b7XD3LN.xyZC2xNZ0xL7GHr4M.;28;$2a$10$cC17DGCMJlTSS5TFmD0uMuHtlnAVpfP245Eb3fEOEAhzvAvDi4.R6;2008;5;Algo,HM,SWT;;4;4;4;6;4;5;4;4;5;7;5;4;3;7;4;4;4;5;3;5;3;3;3;
1192054;Filipcic;Guth;a;$2a$10$b3Oyy/wURZIiCU2yt0UQh.lqQkpqawmG57yEj4VCD/VGFWC9qnIo6;33;$2a$10$rJrcdU2s.yfeDCUhH3GefuPbwp.HvO2ViGsDf.T/Ph4OiFUh0e0Ku;2008;3;LA,Algo,HM,SWT;;6;5;4;7;3;7;3;5;5;3;7;6;3;7;6;7;4;7;6;4;3;3;4;
1204065;Rosmari;Seemann;a;$2a$10$eLLtmyeaI9pVZs4gbHr/zuRLz/A8/J5/eOB/5oaSUrjrGbDuMtZii;7;$2a$10$INchIDtXNXUsMLzNpemK3uL3EAMkfg.Qxv0jlRtC8FY/cjyM/SPye;2008;3;LA,Algo,HM,SWT;;6;7;6;7;4;7;3;3;4;7;3;6;3;3;3;5;4;5;3;4;5;5;4;
1204499;Sedzida;Brack;a;$2a$10$/9nrGlU2pzMQXvFMHsuoXe3mmjlFLzguo0MW0HniQxca9H/driQuK;15;$2a$10$EK6pExkUZSRnzMODzZ7bH.CA6KPDYmRMv5Pn8PwF00b8tNN0fXbqe;2008;3;Algo,HM,SWT;;3;5;4;7;3;6;3;5;3;3;6;4;3;3;3;6;4;5;3;5;3;4;6;
1208000;Maskut;Weinreich;a;$2a$10$.7gTYlJrJ9B.3MH51wn8Sel9iXWmKP14BAAL0Wm6d75uw8hT.OzF6;34;$2a$10$yDkwwcRE5qmR302S8rAN6OH3SzTV4PAcL8FOgXtJ9xHoWv0NXTq5C;2008;5;LA,Algo,HM,SWT;;4;7;5;6;3;3;6;4;5;5;4;5;3;6;6;7;4;6;5;3;3;3;6;
1211387;Siaullah;Schünemann;a;$2a$10$0/KqneqXtK8NSg5sqrvPtutNTQmor99Optw/FbmyfZAltO.LoB9Ti;;;2008;3;LA,Algo,HM,SWT;;5;5;5;7;3;4;4;4;3;3;5;3;3;3;3;4;4;7;6;3;3;3;3;
1216645;Önder;Bergmann;a;$2a$10$ibTKzlUfBrETbHYPjTEvA.AbtHi07tnHljY93b0qezzZGtM1VveWC;;;2008;3;Algo,HM,SWT;;5;7;5;5;3;5;4;5;6;4;5;5;5;4;3;3;4;6;5;6;7;6;6;
1220369;Margit;Große;a;$2a$10$torvv/hqzmgLW/n9JBQe9Oj5l7ZxIaQ7DI6e4YPSX9MbkSfBJIO9G;15;$2a$10$EK6pExkUZSRnzMODzZ7bH.CA6KPDYmRMv5Pn8PwF00b8tNN0fXbqe;2008;3;LA,Algo,HM,SWT;;3;5;4;7;3;6;3;5;3;3;6;4;3;3;3;6;4;5;3;5;3;4;6;
1222998;Heinz-Peter;Thom;a;$2a$10$c08SS7KNwpu4AcEFUvw/5OwFdJR/TBNBv/5SKVDyKdH7X.MmN/kNC;30;$2a$10$SlEt5p1v7/c2dqiSQwXzWOz5iLWW6HGRSX/Rv3yEJ0mJMTXvxzAd2;2008;3;Algo,HM,SWT;;4;5;3;7;4;7;3;6;5;4;7;4;5;7;7;6;4;7;6;3;4;5;7;
1227725;William;Salomon;a;$2a$10$nqirTLUAHmoFdmBO8aFFwOtYvEp90tjrfcpZeH2hbIlkJniFAiCu2;;;2008;3;Algo,HM,SWT;;6;5;5;6;3;4;4;6;7;6;6;5;4;4;3;4;4;4;4;7;3;3;7;
1252790;Delia;Scheurer;a;$2a$10$mNeAyaCgd1sZu8VuAmejvOoPYwvZUql/8nhyCvBIZ4CylzIp/QsJi;21;$2a$10$9X4oUug7PN5hKdJcNsUdcuglhg1vsDKrX/do1GJZYtF6Zx4ey7Nwq;2008;3;LA,Algo,HM,SWT;;3;4;4;5;3;6;6;3;3;7;5;3;3;6;3;6;4;4;3;3;3;3;5;
1258439;Moradi;Cremer;a;$2a$10$BMh90lwJxF9D5oLss4lFTu9O8Oby1g1NHORHSzRjlRAXgvQniIf2G;46;$2a$10$TbI6OgPJGueaFmAj5jSGmevRDFLiSVSrMjob.7hhZmrvvUuKNEgou;2008;3;LA,HM,SWT;;6;5;4;7;4;4;4;4;4;3;7;3;4;4;5;7;4;6;3;5;3;3;6;
1261403;Maximiliane;Bachmeier;a;$2a$10$iLYp9eU5XMham89n8jGLoO/Vco1gmzb4nXLQBwbQSesShSLfCBXPe;37;$2a$10$tfYM1yq1sfLfIqql4Pj68OjxFnf28xzI3/UTFTjed42IOcHdSBkGu;2008;3;LA,Algo,HM,SWT;;5;5;5;6;4;6;5;3;4;3;7;5;3;3;6;5;4;6;3;4;3;3;6;
1264488;Soraya;Neufeld;a;$2a$10$MNwS6QXx3TntytbPbP5M9.XfUSkQMFcmtu/0TszVx1r63Je.9pgY.;20;$2a$10$Ehbs5AkLcCqLz/rXlSCaweBLdwXtiW1uG5vWSeTtUgZZuZG8d9Gb.;2008;7;Algo,HM,SWT;;7;5;5;7;6;4;3;4;3;3;7;5;3;3;7;3;4;6;5;5;3;3;5;
1278115;Salvador;Schell;a;$2a$10$LHZfz9u.jxDXEMeEpikkFeU5GdL6NSZ8bqKq2YLCN5nzqlVjLlSzG;14;$2a$10$6guZVnUhb2JHW1sMFAy1n.I7XaDSEa72XWGal5w5H8WosTqxWYRG.;2008;3;LA,Algo,HM,SWT;;5;3;3;7;5;7;6;4;4;6;7;3;3;4;5;7;4;3;5;5;3;4;3;
1278649;Barjam;Lemke;a;$2a$10$buCsU12Cwjg1Len478Dlce.k34/O/THsZblHTPAaHtFDJZO/S0D9u;;;2008;6;LA,Algo,HM,SWT;;6;3;4;5;4;6;3;6;3;3;5;3;3;3;5;7;4;5;3;3;3;3;4;
1288515;Fenna;Stark;a;$2a$10$wm02ZwP3HpJVg8zFlsBnkuHCVtJsup06Rj/4vlBCG834wAkCpZRzK;;;2008;3;Algo,HM,SWT;;6;6;7;3;4;4;6;7;5;5;5;6;7;3;4;4;4;6;4;6;4;5;5;
