MatNr;Vorname;Nachname;E-Mail;Passwort;Lerngruppenname;LerngruppePasswort;SPO;Fachsemester;Bestandene Teilleistungen;Noch ausstehende Teilleistungen;"""3D Reconstruction Framework from Multi-View Images (3D-MuVi)""";"""Android-Applikation KIT-Mensa-Speiseplan""";"""Assistenztools für den Maschinenbau""";"""ChronoCommand - An Intelligent Web-Based Work Time Tracking Tool""";"""Crowd Control -- Entwicklung von Steuerungsmechanismen für das Crowd Computing""";"""DataDealer - Middelware für die interaktive Visualisierung verteilter Sensoren in WebApps""";"""DataScientist -- benutzerorientierte Analyse großer hochdimensionaler Datenbestände""";"""Der Microsoft Imagine Cup 2016 (nur 4er Teams)""";"""Der WorkspaceService - Die smarte Lernumgebung am KIT basierend auf HTML5 und REST""";"""Distributed Camera Network 3D Calibration Suite""";"""Dynamic scheduler for scientific simulations""";"""Echtzeit-Computergrafik in der Spieleentwicklung""";"""Industrie 4.0 und OPC UA""";"""Interaktive Visualisierung von Real-Estate-Daten""";"""Komponenten-Windkanal - Automatisches Ausmessen der Performance von Software-Komponenten""";"""Medienbrowser zur inhaltsbasierten Suche in Bild- und Videodaten""""Mobile Reconnaissance Manual -interaktive Assistenz für Erkennungsaufgaben""";"""Modulares Multimedia-Werkzeug zum Testen von Videoencodern""";"""Node.js Bindings for ROOT6 (auf Englisch)""";"""OpenID Connect for Linux (auf Englisch)""";"""ProfiNet-Modul für das Intrusion-Detection-System Snort""";"""RoboCorder - Aufnahme und Wiedergabe von heterogenen Sensordaten eines humanoiden Roboters""";"""Webapplikation zur Verwaltung Nachbearbeitung und Analyse multispektraler Datensätze"""
980210;Nellya;Kast;a;b;33;c;2008;3;HM,LA,SWT,Algo;;3;2;1;4;0;4;0;2;2;0;4;3;0;4;3;4;4;3;1;0;0;1
983692;Süleymann;Mehner;a;b;3;c;2008;5;HM,SWT,Algo;;0;0;2;0;0;1;0;0;0;0;2;2;4;0;1;0;2;0;1;3;4;4
988022;Sunsa;Geißler;a;b;10;c;2008;4;HM,SWT,Algo;;2;3;2;1;0;3;2;0;1;0;3;2;0;4;0;3;3;0;0;0;0;1
991914;Belagia;Reinert;a;b;;c;2008;3;HM,SWT,Algo;;3;0;3;1;0;2;0;2;1;0;3;2;4;2;1;2;1;3;2;4;4;1
992573;Görr;Claußen;a;b;;c;2008;5;HM,SWT,Algo;;0;4;0;3;1;2;0;1;0;0;2;0;0;1;1;0;1;0;1;0;1;0
994188;Filis;Heckel;a;b;;c;2008;7;HM,LA,SWT,Algo;;2;2;3;1;1;0;2;2;4;3;0;1;2;3;1;0;3;3;0;2;3;1
1003391;Xuemei;Möckel;a;b;12;c;2008;3;HM,LA,SWT,Algo;;2;4;3;0;2;2;2;1;2;1;1;3;1;2;3;0;4;2;2;1;1;3
1009386;Zinka;Schramm;a;b;;c;2008;5;HM,SWT;;0;0;1;4;0;3;0;3;0;2;0;1;0;2;0;4;3;3;4;0;0;3
1018651;Ehrenfried;Rein;a;b;45;c;2008;7;HM,SWT;;0;3;3;2;0;2;0;3;0;1;1;4;0;3;0;1;3;0;3;3;4;4
1019087;Irme;Melchior;a;b;;c;2008;5;HM,LA,SWT;;2;1;3;1;1;2;1;3;2;0;2;3;2;2;0;3;3;2;4;2;0;2
1024025;Rossitza;Polzin;a;b;27;c;2008;3;HM,LA,SWT,Algo;;1;0;2;0;0;1;1;2;2;0;2;2;4;0;1;3;1;1;4;1;2;3
1028343;Erika-Maria;Ring;a;b;49;c;2008;5;HM,SWT,Algo;;2;3;3;4;0;3;2;0;2;1;1;0;0;1;0;0;3;1;0;1;0;0
1043511;Marcello;Baumer;a;b;;c;2008;5;HM,LA,SWT,Algo;;2;2;2;4;1;2;3;2;3;0;3;1;2;1;1;3;3;3;3;1;1;1
1056056;Mandrina;Böse;a;b;2;c;2008;3;HM,LA,SWT,Algo;;1;2;2;4;2;4;4;1;4;0;4;2;1;1;2;1;1;3;2;1;1;3
1057908;Tonja;Buss;a;b;6;c;2008;5;HM,SWT,Algo;;1;4;4;2;1;2;3;1;1;0;2;2;0;4;1;1;4;1;2;0;0;1
1061731;Sigl;Wagenknecht;a;b;39;c;2008;3;HM,SWT,Algo;;0;0;3;4;0;3;0;3;3;2;3;2;1;3;0;4;2;1;0;0;0;3
1068739;Vica;Grützner;a;b;27;c;2008;3;HM,LA,SWT,Algo;;1;0;2;0;0;1;1;2;2;0;2;2;4;0;1;3;1;1;4;1;2;3
1070429;Hukyiar;Brucker;a;b;50;c;2008;3;HM,LA,SWT,Algo;;1;3;3;4;1;3;1;1;1;3;3;1;1;1;1;4;3;3;3;0;1;2
1076959;Hein-Eike;Rücker;a;b;17;c;2008;5;HM,SWT;;1;2;0;3;1;4;2;2;2;1;2;0;4;2;1;1;0;0;0;3;2;1
1080592;Gheorghe;Bräuer;a;b;23;c;2008;3;HM,LA,SWT,Algo;;3;1;0;4;1;2;0;0;0;1;0;0;0;3;0;1;1;3;4;0;0;1
1092834;Waselko;Drechsel;a;b;36;c;2008;3;HM,LA,SWT,Algo;;0;0;3;4;0;2;1;1;1;0;2;1;0;3;0;3;2;2;0;0;0;3
1096801;Azza;Haake;a;b;;c;2008;5;HM,SWT,Algo;;1;3;4;3;2;0;1;2;1;1;0;3;0;2;2;3;4;2;2;0;0;1
1110745;Mican;Gramlich;a;b;17;c;2008;5;HM,SWT;;1;2;0;3;1;4;2;2;2;1;2;0;4;2;1;1;0;0;0;3;2;1
1112828;Kerasia;Lüth;a;b;17;c;2008;5;HM,LA,SWT,Algo;;1;2;0;3;1;4;2;2;2;1;2;0;4;2;1;1;0;0;0;3;2;1
1114187;Bloch;Fetzer;a;b;44;c;2008;3;HM,LA,SWT,Algo;;0;1;3;0;0;0;0;2;0;3;0;3;2;0;2;0;4;0;1;2;1;3
1114295;Madfa;Diener;a;b;;c;2008;5;HM,SWT,Algo;;1;2;1;4;1;1;3;2;2;0;3;3;0;4;1;2;2;4;4;0;0;2
1115979;Maki;Jünger;a;b;19;c;2008;5;HM,SWT,Algo;;2;2;1;4;0;4;0;3;1;0;0;2;3;2;2;4;3;3;2;3;4;4
1117898;Simone;Mauch;a;b;;c;2008;5;HM,LA,SWT,Algo;;0;0;4;0;2;1;0;0;1;0;0;4;0;0;0;1;3;0;3;2;2;3
1123154;Pennos;Herdt;a;b;39;c;2008;3;HM,LA,SWT,Algo;;0;0;3;4;0;3;0;3;3;2;3;2;1;3;0;4;2;1;0;0;0;3
1124453;Wasilios;Dreher;a;b;;c;2008;7;HM,LA,SWT;;3;1;0;2;0;1;1;1;1;4;1;0;1;1;1;4;2;1;0;2;1;2
1136871;Ponniah;Scheler;a;b;43;c;2008;7;HM,SWT,Algo;;0;0;1;4;0;2;1;2;0;3;3;1;0;3;0;0;1;0;2;0;0;0
1137884;Miladinka;Goldmann;a;b;20;c;2008;7;HM,LA,SWT,Algo;;4;2;2;4;3;1;0;1;0;0;4;2;0;0;4;0;3;2;2;0;0;2
1138311;Klaus-Knut;Pohlmann;a;b;16;c;2008;3;HM,LA,SWT,Algo;;3;1;3;4;0;4;2;1;3;0;3;1;0;4;0;4;3;1;3;0;0;1
1150260;Inanmis;Wenzl;a;b;22;c;2008;3;HM,LA,SWT,Algo;;0;4;4;1;0;3;0;1;1;1;0;3;1;2;0;3;4;2;3;0;0;2
1155102;Gérard;Wollmann;a;b;37;c;2008;3;HM,LA,SWT,Algo;;2;2;2;3;1;3;2;0;1;0;4;2;0;0;3;2;3;0;1;0;0;3
1162895;Pejdo;Majewski;a;b;52;c;2008;3;HM,LA,SWT,Algo;;0;2;3;1;1;1;0;1;1;2;0;3;1;4;1;3;2;1;2;1;1;4
1180321;Aydin;Kluge;a;b;37;c;2008;3;HM,LA,SWT,Algo;;2;2;2;3;1;3;2;0;1;0;4;2;0;0;3;2;3;0;1;0;0;3
1190408;Bajrami;Baumert;a;b;28;c;2008;5;HM,SWT,Algo;;1;1;1;3;1;2;1;1;2;4;2;1;0;4;1;1;2;0;2;0;0;0
1192054;Filipcic;Guth;a;b;33;c;2008;3;HM,LA,SWT,Algo;;3;2;1;4;0;4;0;2;2;0;4;3;0;4;3;4;4;3;1;0;0;1
1204065;Rosmari;Seemann;a;b;7;c;2008;3;HM,LA,SWT,Algo;;3;4;3;4;1;4;0;0;1;4;0;3;0;0;0;2;2;0;1;2;2;1
1204499;Sedzida;Brack;a;b;15;c;2008;3;HM,SWT,Algo;;0;2;1;4;0;3;0;2;0;0;3;1;0;0;0;3;2;0;2;0;1;3
1208000;Maskut;Weinreich;a;b;34;c;2008;5;HM,LA,SWT,Algo;;1;4;2;3;0;0;3;1;2;2;1;2;0;3;3;4;3;2;0;0;0;3
1211387;Siaullah;Schünemann;a;b;;c;2008;3;HM,LA,SWT,Algo;;2;2;2;4;0;1;1;1;0;0;2;0;0;0;0;1;4;3;0;0;0;0
1216645;Önder;Bergmann;a;b;;c;2008;3;HM,SWT,Algo;;2;4;2;2;0;2;1;2;3;1;2;2;2;1;0;0;3;2;3;4;3;3
1220369;Margit;Große;a;b;15;c;2008;3;HM,LA,SWT,Algo;;0;2;1;4;0;3;0;2;0;0;3;1;0;0;0;3;2;0;2;0;1;3
1222998;Heinz-Peter;Thom;a;b;30;c;2008;3;HM,SWT,Algo;;1;2;0;4;1;4;0;3;2;1;4;1;2;4;4;3;4;3;0;1;2;4
1227725;William;Salomon;a;b;;c;2008;3;HM,SWT,Algo;;3;2;2;3;0;1;1;3;4;3;3;2;1;1;0;1;1;1;4;0;0;4
1235953;Pitrella;Selle;a;b;39;c;2008;3;HM,SWT,Algo;;0;0;3;4;0;3;0;3;3;2;3;2;1;3;0;4;2;1;0;0;0;3
1236056;Peglis;Kolbeck;a;b;23;c;2008;3;HM,LA,SWT,Algo;;3;1;0;4;1;2;0;0;0;1;0;0;0;3;0;1;1;3;4;0;0;1
1237835;Mojmir;Storz;a;b;;c;2008;5;HM,LA,SWT;;2;1;2;4;1;1;3;1;1;1;3;1;1;3;2;1;2;3;2;0;0;2
1238079;Melahat;Meurer;a;b;34;c;2008;5;HM,SWT,Algo;;1;4;2;3;0;0;3;1;2;2;1;2;0;3;3;4;3;2;0;0;0;3
1238364;Fabuizio;Sedlmeier;a;b;;c;2008;5;HM,SWT;;4;3;4;0;0;0;2;2;2;4;2;0;2;2;2;0;1;2;2;2;2;1
1239682;Fadileh;Rückert;a;b;;c;2008;5;HM,LA,SWT,Algo;;1;4;3;0;3;0;0;2;0;2;1;2;3;3;3;2;1;2;2;2;2;2
1240791;Lilija;Gröne;a;b;;c;2008;7;HM,LA,SWT;;2;3;1;4;2;3;1;2;1;0;2;2;2;0;3;0;2;2;2;0;0;3
1244009;Kuraja;Rieger;a;b;45;c;2008;3;HM,LA,SWT,Algo;;0;3;3;2;0;2;0;3;0;1;1;4;0;3;0;1;3;0;3;3;4;4
1244843;Anis;Pesch;a;b;27;c;2008;3;HM,LA,SWT,Algo;;1;0;2;0;0;1;1;2;2;0;2;2;4;0;1;3;1;1;4;1;2;3
1245029;Nasim;Brugger;a;b;51;c;2008;3;HM,LA,SWT,Algo;;0;1;0;0;0;0;3;0;1;2;0;1;0;1;0;2;2;0;0;1;2;4
1247503;Safak;Limbach;a;b;46;c;2008;3;HM,LA,SWT,Algo;;3;2;1;4;1;1;1;1;1;0;4;0;1;1;2;4;3;0;2;0;0;3
1247547;Haider;Veith;a;b;48;c;2008;5;HM,SWT,Algo;;0;2;1;4;0;4;0;2;3;4;4;1;4;2;3;2;3;1;0;0;0;3
1252790;Delia;Scheurer;a;b;21;c;2008;3;HM,LA,SWT,Algo;;0;1;1;2;0;3;3;0;0;4;2;0;0;3;0;3;1;0;0;0;0;2
1258439;Moradi;Cremer;a;b;46;c;2008;3;HM,LA,SWT;;3;2;1;4;1;1;1;1;1;0;4;0;1;1;2;4;3;0;2;0;0;3
1261403;Maximiliane;Bachmeier;a;b;37;c;2008;3;HM,LA,SWT,Algo;;2;2;2;3;1;3;2;0;1;0;4;2;0;0;3;2;3;0;1;0;0;3
1264488;Soraya;Neufeld;a;b;20;c;2008;7;HM,SWT,Algo;;4;2;2;4;3;1;0;1;0;0;4;2;0;0;4;0;3;2;2;0;0;2
1278115;Salvador;Schell;a;b;14;c;2008;3;HM,LA,SWT,Algo;;2;0;0;4;2;4;3;1;1;3;4;0;0;1;2;4;0;2;2;0;1;0
1278649;Barjam;Lemke;a;b;;c;2008;6;HM,LA,SWT,Algo;;3;0;1;2;1;3;0;3;0;0;2;0;0;0;2;4;2;0;0;0;0;1
1288515;Fenna;Stark;a;b;;c;2008;3;HM,SWT,Algo;;3;3;4;0;1;1;3;4;2;2;2;3;4;0;1;1;3;1;3;1;2;2
1288970;Sche;Hanisch;a;b;;c;2008;5;HM,LA,SWT,Algo;;1;1;2;0;1;1;3;0;1;1;0;2;0;1;1;4;3;3;3;0;0;1
1292380;Jürgen-Dieter;Tröger;a;b;36;c;2008;3;HM,LA,SWT,Algo;;0;0;3;4;0;2;1;1;1;0;2;1;0;3;0;3;2;2;0;0;0;3
1292450;Lollia;Sohn;a;b;17;c;2008;5;HM,LA,SWT,Algo;;1;2;0;3;1;4;2;2;2;1;2;0;4;2;1;1;0;0;0;3;2;1
1292726;Annemari;Denk;a;b;51;c;2008;3;HM,LA,SWT,Algo;;0;1;0;0;0;0;3;0;1;2;0;1;0;1;0;2;2;0;0;1;2;4
1293673;Karolus;Langhans;a;b;5;c;2008;3;HM,LA,SWT,Algo;;1;3;3;1;1;2;1;1;1;0;2;2;1;1;1;0;3;0;3;0;0;0
1295143;Daniza;Mehl;a;b;13;c;2008;3;HM,LA,SWT,Algo;;0;4;3;2;2;2;0;1;2;3;0;1;0;1;1;4;0;1;3;1;1;0
1296011;Olferino;Palm;a;b;48;c;2008;5;HM,LA,SWT,Algo;;0;2;1;4;0;4;0;2;3;4;4;1;4;2;3;2;3;1;0;0;0;3
1305788;Gülsüm;Wiedmann;a;b;27;c;2008;5;HM,SWT,Algo;;1;0;2;0;0;1;1;2;2;0;2;2;4;0;1;3;1;1;4;1;2;3
1306149;Dilber;Altmann;a;b;25;c;2008;3;HM,SWT,Algo;;2;2;4;4;0;3;1;2;1;1;3;3;0;3;1;3;4;2;2;0;0;0
1307101;Ulf-Karsten;Pätzold;a;b;38;c;2008;3;HM,LA,SWT;;0;2;0;4;1;3;0;1;0;1;4;0;1;4;2;0;0;2;3;0;2;3
1310605;Harra;Ehret;a;b;10;c;2008;3;HM,LA,SWT,Algo;;2;3;2;1;0;3;2;0;1;0;3;2;0;4;0;3;3;0;0;0;0;1
1320743;Amporn;Rank;a;b;;c;2008;3;HM,SWT,Algo;;0;1;4;3;0;1;0;0;0;2;4;0;0;4;0;2;4;4;0;0;1;0
1323482;Art;Radke;a;b;19;c;2008;5;HM,SWT,Algo;;2;2;1;4;0;4;0;3;1;0;0;2;3;2;2;4;3;3;2;3;4;4
1327562;Keld;Kahlert;a;b;;c;2008;3;HM,LA,SWT,Algo;;0;1;3;1;0;0;0;0;1;1;0;1;1;1;0;0;4;0;1;2;0;1
1333120;Ingeburg;Baumgärtel;a;b;31;c;2008;5;HM,LA,SWT,Algo;;1;2;2;2;0;4;4;2;4;2;4;0;0;4;0;3;4;0;3;0;0;2
1336575;Ates;Gerhard;a;b;18;c;2008;3;HM,SWT;;1;4;3;2;0;4;1;1;1;0;2;0;3;4;3;4;1;1;1;0;0;3
1340845;Altintas;Matthies;a;b;;c;2008;3;HM,LA,SWT,Algo;;1;2;2;4;0;2;0;2;0;4;2;1;2;0;0;2;2;1;1;1;0;0
1341061;Mandita;Schwenk;a;b;41;c;2008;5;HM,LA,SWT,Algo;;1;3;1;3;2;4;0;2;2;0;3;4;0;3;3;4;0;0;2;1;1;4
1358287;Khorram;Vogel;a;b;5;c;2008;3;HM,LA,SWT,Algo;;1;3;3;1;1;2;1;1;1;0;2;2;1;1;1;0;3;0;3;0;0;0
1363294;Panagiotis;Keppler;a;b;9;c;2008;3;HM,LA,SWT,Algo;;2;1;2;1;1;2;2;1;3;2;2;1;2;2;1;4;3;4;1;1;0;1
1369457;Gavin;Stellmacher;a;b;;c;2008;3;HM,SWT;;2;2;3;4;0;3;0;0;1;2;0;2;2;4;0;4;2;3;2;0;0;0
1371212;Toska;Rosenbaum;a;b;14;c;2008;3;HM,LA,SWT,Algo;;2;0;0;4;2;4;3;1;1;3;4;0;0;1;2;4;0;2;2;0;1;0
1378335;Mesinovic;Götze;a;b;24;c;2008;3;HM,SWT,Algo;;2;2;0;1;2;3;1;2;3;1;2;0;0;3;2;3;4;2;4;0;1;3
1379355;Dordo;Ludewig;a;b;;c;2008;3;HM,LA,SWT,Algo;;1;0;0;2;1;1;0;0;1;0;1;0;0;4;1;1;0;1;1;0;0;0
1384172;Yuness;Thom;a;b;23;c;2008;3;HM,SWT,Algo;;3;1;0;4;1;2;0;0;0;1;0;0;0;3;0;1;1;3;4;0;0;1
1387552;Marie-Paule;Bräuer;a;b;;c;2008;7;HM,SWT;;4;2;4;2;1;0;0;2;1;0;2;3;1;4;1;0;4;1;3;0;1;2
1390303;Feuvranija;Meinhardt;a;b;28;c;2008;5;HM,LA,SWT,Algo;;1;1;1;3;1;2;1;1;2;4;2;1;0;4;1;1;2;0;2;0;0;0
1392000;Mersiye;Danner;a;b;;c;2008;3;HM,LA,SWT;;0;4;1;1;0;3;2;1;1;1;0;0;1;0;0;1;1;0;0;0;0;0
1395521;Yesilkaya;Förtsch;a;b;25;c;2008;3;HM,SWT,Algo;;2;2;4;4;0;3;1;2;1;1;3;3;0;3;1;3;4;2;2;0;0;0
1411679;Sina;Stolte;a;b;37;c;2008;3;HM,LA,SWT;;2;2;2;3;1;3;2;0;1;0;4;2;0;0;3;2;3;0;1;0;0;3
1413054;Jeanine;Schnieders;a;b;29;c;2008;3;HM,SWT;;1;2;4;4;1;3;0;0;1;0;1;1;0;0;0;3;4;3;1;0;0;0
1415828;Rodoslav;Polster;a;b;47;c;2008;3;HM,SWT,Algo;;1;1;4;3;2;0;1;0;0;0;4;2;0;3;2;4;3;2;1;0;0;4
1416815;Fatin;Klug;a;b;23;c;2008;5;HM,LA,SWT,Algo;;3;1;0;4;1;2;0;0;0;1;0;0;0;3;0;1;1;3;4;0;0;1
1422557;Amanuel;Oehme;a;b;25;c;2008;3;HM,LA,SWT,Algo;;2;2;4;4;0;3;1;2;1;1;3;3;0;3;1;3;4;2;2;0;0;0
1422801;Fredl;Schwartz;a;b;;c;2008;3;HM,SWT;;0;3;0;1;3;1;0;0;1;2;0;1;0;0;3;4;1;1;1;0;0;3
1429752;Ademaj;Göhring;a;b;35;c;2008;5;HM,SWT,Algo;;2;2;2;4;2;3;0;2;0;2;2;2;0;2;2;3;3;3;2;0;0;3
1432745;Inci;Fehrenbach;a;b;;c;2008;7;HM,SWT;;2;2;3;3;1;1;1;3;2;0;0;1;0;4;1;3;3;0;3;0;0;2
1433689;Ismael;Fritsche;a;b;6;c;2008;5;HM,LA,SWT;;1;4;4;2;1;2;3;1;1;0;2;2;0;4;1;1;4;1;2;0;0;1
1450017;Cort;Hoch;a;b;;c;2008;7;HM,LA,SWT;;3;3;4;2;1;3;0;0;1;3;4;2;3;0;2;4;0;3;0;4;4;1
1452292;Ashley;Gräber;a;b;27;c;2008;3;HM,LA,SWT;;1;0;2;0;0;1;1;2;2;0;2;2;4;0;1;3;1;1;4;1;2;3
1454446;Karabas;Ertel;a;b;45;c;2008;3;HM,SWT;;0;3;3;2;0;2;0;3;0;1;1;4;0;3;0;1;3;0;3;3;4;4
1458943;Heijo;Stapf;a;b;52;c;2008;3;HM,LA,SWT,Algo;;0;2;3;1;1;1;0;1;1;2;0;3;1;4;1;3;2;1;2;1;1;4
1462989;Paulin;Bausch;a;b;37;c;2008;3;HM,LA,SWT,Algo;;2;2;2;3;1;3;2;0;1;0;4;2;0;0;3;2;3;0;1;0;0;3
1463131;Palic;Mende;a;b;49;c;2008;5;HM,SWT;;2;3;3;4;0;3;2;0;2;1;1;0;0;1;0;0;3;1;0;1;0;0
1464387;Jean-Marie;Deininger;a;b;40;c;2008;3;HM,LA,SWT,Algo;;0;0;1;3;0;2;2;0;3;0;1;2;0;0;1;4;1;2;0;0;0;0
1469651;Sebaat;Lücke;a;b;24;c;2008;3;HM,LA,SWT,Algo;;2;2;0;1;2;3;1;2;3;1;2;0;0;3;2;3;4;2;4;0;1;3
1470725;Rago;Laufer;a;b;;c;2008;9;HM,SWT;;2;4;2;4;2;3;2;2;3;0;3;0;2;4;2;1;3;2;1;2;2;1
1480999;Loan;Köpke;a;b;;c;2008;5;HM,LA,SWT;;1;1;2;2;0;1;0;2;0;0;0;2;0;4;2;2;1;0;2;0;0;0
1493177;Mirjana;Brosch;a;b;47;c;2008;3;HM,LA,SWT,Algo;;1;1;4;3;2;0;1;0;0;0;4;2;0;3;2;4;3;2;1;0;0;4
1495005;Kirsa;Noe;a;b;21;c;2008;3;HM,LA,SWT,Algo;;0;1;1;2;0;3;3;0;0;4;2;0;0;3;0;3;1;0;0;0;0;2
1498916;Yoshiyuki;Kötter;a;b;;c;2008;3;HM,LA,SWT,Algo;;1;3;1;4;0;1;2;2;0;0;2;0;2;0;1;0;3;2;0;0;0;0
1506197;Imkea;Sachs;a;b;26;c;2008;3;HM,LA,SWT,Algo;;1;3;3;1;1;3;0;2;1;0;2;2;1;1;1;0;4;2;3;0;3;2
1507583;Anadolu;Kircher;a;b;20;c;2008;7;HM,SWT,Algo;;4;2;2;4;3;1;0;1;0;0;4;2;0;0;4;0;3;2;2;0;0;2
1523702;Eusebia;Amend;a;b;36;c;2008;3;HM,LA,SWT,Algo;;0;0;3;4;0;2;1;1;1;0;2;1;0;3;0;3;2;2;0;0;0;3
1529980;Yorck;Moldenhauer;a;b;32;c;2008;3;HM,SWT,Algo;;0;0;1;1;0;1;0;0;0;4;0;0;1;2;0;4;1;0;0;4;4;3
1530023;Mogens;Eichmann;a;b;49;c;2008;5;HM,LA,SWT,Algo;;2;3;3;4;0;3;2;0;2;1;1;0;0;1;0;0;3;1;0;1;0;0
1531192;Tessa;Schumacher;a;b;34;c;2008;5;HM,LA,SWT,Algo;;1;4;2;3;0;0;3;1;2;2;1;2;0;3;3;4;3;2;0;0;0;3
1541700;Her;Seliger;a;b;7;c;2008;3;HM,SWT;;3;4;3;4;1;4;0;0;1;4;0;3;0;0;0;2;2;0;1;2;2;1
1541914;Bertram;Friedmann;a;b;22;c;2008;3;HM,LA,SWT,Algo;;0;4;4;1;0;3;0;1;1;1;0;3;1;2;0;3;4;2;3;0;0;2
1544865;Die;Zinke;a;b;41;c;2008;5;HM,LA,SWT,Algo;;1;3;1;3;2;4;0;2;2;0;3;4;0;3;3;4;0;0;2;1;1;4
1550534;Vanda;Schäffler;a;b;45;c;2008;3;HM,LA,SWT,Algo;;0;3;3;2;0;2;0;3;0;1;1;4;0;3;0;1;3;0;3;3;4;4
1551031;Miliu;Siemers;a;b;5;c;2008;3;HM,LA,SWT,Algo;;1;3;3;1;1;2;1;1;1;0;2;2;1;1;1;0;3;0;3;0;0;0
1561476;Tareq;Wegmann;a;b;38;c;2008;7;HM,LA,SWT,Algo;;0;2;0;4;1;3;0;1;0;1;4;0;1;4;2;0;0;2;3;0;2;3
1582488;Hicran;Meurer;a;b;48;c;2008;5;HM,LA,SWT,Algo;;0;2;1;4;0;4;0;2;3;4;4;1;4;2;3;2;3;1;0;0;0;3
1583687;Erdmuthe;Kurtz;a;b;50;c;2008;3;HM;;1;3;3;4;1;3;1;1;1;3;3;1;1;1;1;4;3;3;3;0;1;2
1584629;Senol;Hake;a;b;43;c;2008;7;HM,SWT,Algo;;0;0;1;4;0;2;1;2;0;3;3;1;0;3;0;0;1;0;2;0;0;0
1588933;Pavle;Wittich;a;b;32;c;2008;3;HM,SWT,Algo;;0;0;1;1;0;1;0;0;0;4;0;0;1;2;0;4;1;0;0;4;4;3
